NO,All,Red,Green,RatioR,RatioG,RatioBG,Result
AA8.jpg,160000,24253,6892,0.15158125,0.043075,0.80534375,AA
AA9.jpg,160000,21230.5,0,0.132690625,0,0.867309375,AA
AA14.jpg,160000,48438.5,0,0.302740625,0,0.697259375,AA
AA28.jpg,160000,28586.5,0,0.178665625,0,0.821334375,AA
AA29.jpg,160000,24403.5,0,0.152521875,0,0.847478125,AA
AA15.jpg,160000,21506.5,0,0.134415625,0,0.865584375,AA
AA17.jpg,160000,25506,0,0.1594125,0,0.8405875,AA
AA16.jpg,160000,37615.5,0,0.235096875,0,0.764903125,AA
AA12.jpg,160000,27785,0,0.17365625,0,0.82634375,AA
AA13.jpg,160000,39877.5,0,0.249234375,0,0.750765625,AA
AA11.jpg,160000,24427,6879.5,0.15266875,0.042996875,0.804334375,AA
AA10.jpg,160000,32922.5,0,0.205765625,0,0.794234375,AA
AA21.jpg,160000,23186,0,0.1449125,0,0.8550875,AA
AA20.jpg,160000,13371.5,0,0.083571875,0,0.916428125,AA
AA22.jpg,160000,22110.5,0,0.138190625,0,0.861809375,AA
AA23.jpg,160000,33078,10991,0.2067375,0.06869375,0.72456875,AA
AA27.jpg,160000,19624,0,0.12265,0,0.87735,AA
AA18.jpg,160000,26435.5,0,0.165221875,0,0.834778125,AA
AA24.jpg,160000,17324.5,11614.5,0.108278125,0.072590625,0.81913125,AA
AA30.jpg,160000,17494.5,5905.5,0.109340625,0.036909375,0.85375,AA
AA31.jpg,160000,21979.5,0,0.137371875,0,0.862628125,AA
AA25.jpg,160000,22944.5,0,0.143403125,0,0.856596875,AA
AA19.jpg,160000,21502.5,5656,0.134390625,0.03535,0.830259375,AA
AA4.jpg,160000,15225.5,13891.5,0.095159375,0.086821875,0.81801875,AA
AA5.jpg,160000,33210.5,0,0.207565625,0,0.792434375,AA
AA7.jpg,160000,21334.5,0,0.133340625,0,0.866659375,AA
AA6.jpg,160000,19426.5,0,0.121415625,0,0.878584375,AA
AA2.jpg,160000,17729.5,21887,0.110809375,0.13679375,0.752396875,AA
AA3.jpg,160000,34372,2780.5,0.214825,0.017378125,0.767796875,AA
AB8.jpg,160000,48312.5,0,0.301953125,0,0.698046875,AB
AB9.jpg,160000,32693,0,0.20433125,0,0.79566875,AB
AB12.jpg,160000,21979.5,0,0.137371875,0,0.862628125,AB
AB13.jpg,160000,25786.5,0,0.161165625,0,0.838834375,AB
AB11.jpg,160000,30758,1139.5,0.1922375,0.007121875,0.800640625,AB
AB10.jpg,160000,18161,19491.5,0.11350625,0.121821875,0.764671875,AB
AB7.jpg,160000,31285.5,3718.5,0.195534375,0.023240625,0.781225,AB
AB2.jpg,160000,20635.5,0,0.128971875,0,0.871028125,AB
